time,amplitude,network,station,location,channel,starttime,endtime,sampling_rate,delta,npts,calib,_format,mseed_dataquality,mseed_number_of_records,mseed_encoding,mseed_byteorder,mseed_record_length,mseed_filesize
2018-03-08T11:57:16.160000Z,-37.44849661730019,EV,EVN,00,HHZ,2018-03-08T11:57:15.500000Z,2018-03-08T11:57:20.430000Z,100.0,0.01,494,1.0,MSEED,D,9,FLOAT64,>,512,13824
2018-03-08T11:57:16.170000Z,22.11719385808214,EV,EVN,00,HHZ,2018-03-08T11:57:15.500000Z,2018-03-08T11:57:20.430000Z,100.0,0.01,494,1.0,MSEED,D,9,FLOAT64,>,512,13824
2018-03-08T11:57:16.180000Z,64.88412631141748,EV,EVN,00,HHZ,2018-03-08T11:57:15.500000Z,2018-03-08T11:57:20.430000Z,100.0,0.01,494,1.0,MSEED,D,9,FLOAT64,>,512,13824
2018-03-08T11:57:16.190000Z,17.594474718125753,EV,EVN,00,HHZ,2018-03-08T11:57:15.500000Z,2018-03-08T11:57:20.430000Z,100.0,0.01,494,1.0,MSEED,D,9,FLOAT64,>,512,13824
2018-03-08T11:57:16.200000Z,-28.762980204481394,EV,EVN,00,HHZ,2018-03-08T11:57:15.500000Z,2018-03-08T11:57:20.430000Z,100.0,0.01,494,1.0,MSEED,D,9,FLOAT64,>,512,13824
2018-03-08T11:57:16.210000Z,-3.490203782737142,EV,EVN,00,HHZ,2018-03-08T11:57:15.500000Z,2018-03-08T11:57:20.430000Z,100.0,0.01,494,1.0,MSEED,D,9,FLOAT64,>,512,13824
2018-03-08T11:57:16.220000Z,18.351736201053797,EV,EVN,00,HHZ,2018-03-08T11:57:15.500000Z,2018-03-08T11:57:20.430000Z,100.0,0.01,494,1.0,MSEED,D,9,FLOAT64,>,512,13824
2018-03-08T11:57:16.230000Z,13.811986476674024,EV,EVN,00,HHZ,2018-03-08T11:57:15.500000Z,2018-03-08T11:57:20.430000Z,100.0,0.01,494,1.0,MSEED,D,9,FLOAT64,>,512,13824
2018-03-08T11:57:16.240000Z,14.04988293941053,EV,EVN,00,HHZ,2018-03-08T11:57:15.500000Z,2018-03-08T11:57:20.430000Z,100.0,0.01,494,1.0,MSEED,D,9,FLOAT64,>,512,13824
2018-03-08T11:57:16.250000Z,-18.88725874430614,EV,EVN,00,HHZ,2018-03-08T11:57:15.500000Z,2018-03-08T11:57:20.430000Z,100.0,0.01,494,1.0,MSEED,D,9,FLOAT64,>,512,13824
